date,gdp_growth,const,population_density,q_2,q_3,q_4,renewable_energy_roll4_std,freshwater_withdraw_roll4_std,population_density_roll4_std,inflation_roll4_std,policy_rate_roll4_std,renewable_energy_lag2,inflation_lag1,imports_lag2,policy_rate_lag2,renewable_energy_roll4_mean_lag4,renewable_energy_roll4_std_lag3,forest_area_roll4_mean_lag4,forest_area_roll4_std_lag1,forest_area_roll4_std_lag4,freshwater_withdraw_roll4_mean_lag4,freshwater_withdraw_roll4_std_lag2,freshwater_withdraw_roll4_std_lag4,population_density_roll4_std_lag2,population_density_roll4_std_lag4,inflation_roll4_std_lag3,imports_roll4_mean_lag4,policy_rate_roll4_mean_lag4,policy_rate_roll4_std_lag1,policy_rate_roll4_std_lag2,policy_rate_roll4_std_lag3
1972-03-31,3.780735934224646,1.0,0.06067246950653171,0.0,0.0,0.0,0.0,0.0,0.005446004650914448,0.06723384469469884,0.2702749744356631,0.0,-0.3895478241983126,0.039511063366910903,-0.47712112060685774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03551537167245735,0.03511943869681211,0.2212453559978983,0.00966303180169037,-0.11668723058319896,0.004965311897305479,0.23600550107699658,0.2709829849519098
1972-06-30,4.2687494183940515,1.0,0.06067246950653171,1.0,0.0,0.0,0.0,0.0,0.00642433338591998,0.07841561177261064,0.3130719560688785,0.0,-0.2537280005015541,0.03951106336691179,-0.4771211206068583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007472067248343513,0.04077897075941084,0.19268782175570487,0.019433430623399417,-0.23467098595065572,0.2702749744356631,0.004965311897305479,0.23600550107699658
1972-09-30,4.762125688103781,1.0,0.06133919994066872,0.0,1.0,0.0,0.0,0.0,0.0054615652666427095,0.06745801471799849,0.27124777266413974,0.0,-0.25372800050155453,0.11194133485198599,0.06513541372941112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005446004650914448,0.03551537167245735,0.0040539526810319,0.029311196465127143,-0.35395126610237015,0.3130719560688785,0.2702749744356631,0.004965311897305479
1972-12-31,5.25550195781351,1.0,0.06133919994066872,0.0,0.0,1.0,0.0,0.0,0.00038493699562602607,0.0016097794438520315,0.0004132521829409158,0.0,-0.2565162202872857,0.11194133485198599,0.06513541372941112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00642433338591998,0.0007472067248343513,0.06723384469469884,0.03918896230685509,-0.4732315462540847,0.27124777266413974,0.3130719560688785,0.2702749744356631
1973-03-31,5.351710183786469,1.0,0.05419350716493554,0.0,0.0,0.0,0.0,0.0,0.003475963445072485,0.48600527124351095,0.15529759688606337,0.0,-0.2565162202872857,0.11317145941079954,0.0658511875066573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054615652666427095,0.005446004650914448,0.07841561177261064,0.05751126421816122,-0.340260462238533,0.0004132521829409158,0.27124777266413974,0.3130719560688785
1973-06-30,5.448987390048018,1.0,0.05479565724455071,1.0,0.0,0.0,0.0,0.0,0.003959380604342795,0.5640323699948078,0.18039880111174467,0.0,0.7164201741084368,0.11317145941079865,0.06585118750665742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038493699562602607,0.00642433338591998,0.06745801471799849,0.07572619910944867,-0.20599285343872345,0.15529759688606337,0.0004132521829409158,0.27124777266413974
1973-09-30,5.547333576598153,1.0,0.055397807324155224,0.0,1.0,0.0,0.0,0.0,0.0033085058409460756,0.4904913735405287,0.15730500411248433,0.0,0.7243803982651977,0.14628723184178583,0.3762070569001017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003475963445072485,0.0054615652666427095,0.0016097794438520315,0.09414129812042082,-0.07024977641034469,0.18039880111174467,0.15529759688606337,0.0004132521829409158
1973-12-31,5.64567976314829,1.0,0.055397807324158777,0.0,0.0,1.0,0.0,0.0,0.0005765148091566308,0.007621334391499424,0.0040021203822751435,0.0,0.7323406224219573,0.14791264552891725,0.3803871353101025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003959380604342795,0.00038493699562602607,0.48600527124351095,0.11255639713139254,0.06549330061803424,0.15730500411248433,0.18039880111174467,0.15529759688606337
1974-03-31,4.120307993229568,1.0,0.05236282734021458,0.0,0.0,0.0,0.0,0.0,0.0014452807624020978,0.2364656575042581,0.2851232015474649,0.0,0.7323406224219582,0.14953805921604868,0.38456721372010394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033085058409460756,0.003475963445072485,0.5640323699948078,0.1211428713788425,0.14326121141070688,0.0040021203822751435,0.15730500411248433,0.18039880111174467
1974-06-30,2.577987648089528,1.0,0.05294463653288162,1.0,0.0,0.0,0.0,0.0,0.0016019988245123769,0.2753919338148913,0.330629588759896,0.0,1.2025589772413632,0.1495380592160478,0.38456721372010394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005765148091566308,0.003959380604342795,0.4904913735405287,0.13013569904807532,0.22207414180587973,0.2851232015474649,0.0040021203822751435,0.15730500411248433
1974-09-30,1.0187187277281682,1.0,0.053526445725548655,0.0,1.0,0.0,0.0,0.0,0.0013153629501301818,0.2420360674516162,0.2868573081411168,0.0,1.2159207436551576,0.4570099171366566,-0.18705893035439836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014452807624020978,0.0033085058409460756,0.007621334391499424,0.1392273489993876,0.3017531483592414,0.330629588759896,0.2851232015474649,0.0040021203822751435
1974-12-31,-0.540550192633191,1.0,0.05352644572555221,0.0,0.0,1.0,0.0,0.0,0.0005570398926022487,0.012792917372073333,0.001989947674113255,0.0,1.2292825100689502,0.46208780510484093,-0.1891373629138915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016019988245123769,0.0005765148091566308,0.2364656575042581,0.1483189989506999,0.381432154912603,0.2868573081411168,0.330629588759896,0.2851232015474649
1975-03-31,-0.45796446623307935,1.0,0.05704721395059664,0.0,0.0,0.0,0.0,0.0,0.0018774930787862705,0.8481215397191433,0.26629946761335005,0.0,1.2292825100689484,0.467165693073027,-0.19121579547338508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013153629501301818,0.0014452807624020978,0.2753919338148913,0.22599967027441759,0.240615658098978,0.001989947674113255,0.2868573081411168,0.330629588759896
1975-06-30,-0.3744611206507442,1.0,0.057681071883376234,1.0,0.0,0.0,0.0,0.0,0.0022307553035261283,0.98338510018566,0.3094308519451292,0.0,-0.47136771119328813,0.46716569307302613,-0.19121579547338508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005570398926022487,0.0016019988245123769,0.2420360674516162,0.3045434601683985,0.09823453354297951,0.26629946761335005,0.001989947674113255,0.2868573081411168
1975-09-30,-0.2900401558861856,1.0,0.05831492981616648,0.0,1.0,0.0,0.0,0.0,0.0021408129796401986,0.8529545400253103,0.27004827946282167,0.0,-0.4766051302065488,-0.23788846701581434,-0.7231183149692467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018774930787862705,0.0013153629501301818,0.012792917372073333,0.3839503686326431,-0.045711218755392746,0.3094308519451292,0.26629946761335005,0.001989947674113255
1975-12-31,-0.205619191121627,1.0,0.05831492981616293,0.0,0.0,1.0,0.0,0.0,0.000606872767314277,0.0050144469379711275,0.0076925897429688875,0.0,-0.48184254921980596,-0.24053167220487914,-0.7311529629133494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022307553035261283,0.0005570398926022487,0.8481215397191433,0.4633572770968877,-0.189656971053765,0.27004827946282167,0.3094308519451292,0.26629946761335005
1976-03-31,1.1851524834766398,1.0,0.055976121755030306,0.0,0.0,0.0,0.0,0.0,0.0011049303519422987,0.1824388475478575,0.6850708448738202,0.0,-0.48184254921980596,-0.24317487739394306,-0.7391876108574522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021408129796401986,0.0018774930787862705,0.98338510018566,0.28963268105876994,-0.32367181720747706,0.0076925897429688875,0.27004827946282167,0.3094308519451292
1976-06-30,2.5759241580749066,1.0,0.055976121755030306,1.0,0.0,0.0,0.0,0.0,0.0013503114636788417,0.2096350023115618,0.7925858520631872,0.0,-0.84494102426825,-0.24317487739394394,-0.7391876108574518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000606872767314277,0.0022307553035261283,0.8529545400253103,0.11397781173133992,-0.45917571720734157,0.6850708448738202,0.0076925897429688875,0.27004827946282167
1976-09-30,3.981979037888539,1.0,0.056591243972121674,0.0,1.0,0.0,0.0,0.0,0.0011055876969024911,0.183149058571383,0.6875677773556056,0.0,-0.84494102426825,0.19489377862830448,0.633611354276258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011049303519422987,0.0021408129796401986,0.0050144469379711275,-0.0636073308854026,-0.5961686710533584,0.7925858520631872,0.6850708448738202,0.0076925897429688875
1976-12-31,5.38803391770217,1.0,0.05659124397211812,0.0,0.0,1.0,0.0,0.0,0.0003551409776213072,0.00536073547044595,0.004019952592871034,0.0,-0.8542260904690009,0.1948937786283036,0.633611354276258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013503114636788417,0.000606872767314277,0.1824388475478575,-0.24119247350214512,-0.7331616248993751,0.6875677773556056,0.7925858520631872,0.6850708448738202
