date,gdp_growth,const,renewable_energy,q_2,q_3,q_4,forest_area_roll4_std,freshwater_withdraw_roll4_std,imports_roll4_std,freshwater_withdraw_lag1,inflation_lag2,imports_lag4,exchange_rate_lag2,renewable_energy_roll4_std_lag1,renewable_energy_roll4_std_lag3,renewable_energy_roll4_std_lag4,forest_area_roll4_std_lag2,forest_area_roll4_std_lag4,freshwater_withdraw_roll4_mean_lag4,freshwater_withdraw_roll4_std_lag2,freshwater_withdraw_roll4_std_lag4,population_density_roll4_mean_lag4,population_density_roll4_std_lag1,population_density_roll4_std_lag2,population_density_roll4_std_lag4,inflation_roll4_std_lag2,imports_roll4_std_lag1,imports_roll4_std_lag3,policy_rate_roll4_mean_lag4,policy_rate_roll4_std_lag4,exchange_rate_roll4_mean_lag4
1972-03-31,6.251939889665583,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05818847802037666,0.0,0.0,-0.0344051368786209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14964056279909954,0.006367552499727338,0.30265519053230927,0.2992811255981991,0.0,0.0003660045632627769,0.01997477925058863,1.22905737660605,0.0,0.0
1972-06-30,5.443879780794447,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06726351436294765,0.0,0.0,-0.03478741617727232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3009437985181904,0.027916178884597836,0.006367552499727338,0.3475105731322621,0.0,0.05818847802037666,0.0173965084441525,1.22905737660605,0.0,0.0
1972-09-30,4.626939890507144,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05840239562329445,0.0,0.0,-0.0351696954759233,-0.05388951631268135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45390970715727263,0.033310823313002266,0.027916178884597836,0.30265519053230927,0.0,0.06726351436294765,0.0003660045632627769,1.22905737660605,0.0,0.0
1972-12-31,3.81000000021984,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0005160250682702728,0.0,0.0,-0.035169695475923746,-0.05388951631268091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6068756157963513,0.027980714360406316,0.033310823313002266,0.006367552499727338,0.0,0.05840239562329445,0.05818847802037666,1.22905737660605,0.0,0.0
1973-03-31,4.783972603113283,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11041341666661308,0.0,0.0,0.08133412889634073,-0.0544817087996341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.595776952031315,0.003515920997865358,0.027980714360406316,0.027916178884597836,0.0,0.0005160250682702728,0.06726351436294765,1.22905737660605,0.0,-0.013472379078170338
1973-06-30,5.768767123816654,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1282999331036774,0.0,0.0,0.08133412889634073,-0.054481708799633655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5830156153462873,0.017885005634139164,0.003515920997865358,0.033310823313002266,0.0,0.11041341666661308,0.05840239562329445,1.22905737660605,0.0,-0.026944758156340565
1973-09-30,6.764383562329952,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.11197931281835756,0.0,0.0,0.08222791053256451,-0.0630372141291402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5701140441921915,0.020019778259530528,0.017885005634139164,0.027980714360406316,0.0,0.1282999331036774,0.0005160250682702728,1.22905737660605,0.0,-0.04056518535624909
1973-12-31,7.76000000084325,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.003220733821976584,0.0,0.0,0.08222791053256406,-0.06373762761946411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5572124730380992,0.016461364487914753,0.020019778259530528,0.003515920997865358,0.0,0.11197931281835756,0.11041341666661308,1.22905737660605,0.0,-0.0541856125561575
1974-03-31,6.416164384923715,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03743411792071172,0.0,0.0,0.30275520886094043,-0.06443804110978757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5494008770022809,0.005562877150924532,0.016461364487914753,0.017885005634139164,0.0,0.003220733821976584,0.1282999331036774,1.22905737660605,0.0,-0.05647253701027222
1974-06-30,5.057397262160631,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04380249402405845,0.0,0.0,0.30611915562606207,-0.06443804110978801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5430418398886694,0.024692428721407197,0.005562877150924532,0.020019778259530528,0.0,0.03743411792071172,0.11197931281835756,1.22905737660605,0.0,-0.05893456483696802
